n,p,s,b,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
300,300,3,2.5,9.3,0.00013047138047138,1.35033860827962e-06,157.25,0.218402777777778,0.000262019918600981,0.0370833333333333,0.00779453343452886,0.154511568856621,0.000176113350553705,Diag
300,300,3,2.5,7.05,9.89057239057239e-05,8.21312695811398e-07,158.1,0.219583333333333,0.000243858323425373,0.0283333333333333,0.00468877906525857,0.154659792625886,0.000109245719434933,Toep(0.10)
300,300,3,2.5,12.9,0.000180976430976431,1.81632341492781e-06,163.6,0.227222222222222,0.000224709671181031,0.0527083333333333,0.0105810494496595,0.154760033147777,0.000133638997595118,Toep(0.50)
300,300,3,2.5,7.85,0.000110129068462402,1.11408390672479e-06,165.8,0.230277777777778,0.000333371403771382,0.0320833333333333,0.00628353575922242,0.154615320236684,0.000213863252792983,Toep(0.70)
300,300,3,2.5,12,0.000168350168350168,2.99468921544918e-06,150.45,0.208958333333333,0.000214544059503313,0.0410416666666667,0.0123724301779712,0.154195732168578,0.000263335944531373,t
