n,p,s,b,L1,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
300,300,3,2.5,1.011077878,9.3,0.000130471,1.49E-06,177.8,0.246944444,0.000284441,0.036875,0.008497694,0.112190681,0.000781625,Diag
300,300,3,2.5,1.017317896,7.05,9.89E-05,1.01E-06,185.8,0.258055556,0.000245451,0.028333333,0.005740171,0.11386815,0.000677513,Toep(0.10)
300,300,3,2.5,0.951992710103349,13.05,0.000183080808080808,1.02976756514701e-06,167.95,0.233263888888889,0.000276930130299867,0.0516666666666667,0.0054611868127275,0.10811768418689,0.000684977931746814,Toep(0.50)
300,300,3,2.5,1.01595289218321,7.8,0.000109427609427609,1.30498769036065e-06,190.6,0.264722222222222,0.000316851605481235,0.031875,0.00759488588898258,0.112035255174466,0.000957314624152439,Toep(0.70)
300,300,3,2.5,0.997622840001789,12,0.000168350168350168,2.9677603537186e-06,177.15,0.246041666666667,0.000304885088108524,0.0402083333333333,0.0108496629626689,0.111153482803058,0.000844310567013706,t
