n,p,s,b,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
300,300,3,2.5,205.5,0.00288299663299663,7.88084415602598e-06,116.75,0.162152777777778,0.000169196428954116,0.5575,0.0208368418098374,0.154511568856621,0.000176113350553705,Diag
300,300,3,2.5,178,0.00249719416386083,8.47240012676419e-06,114.85,0.159513888888889,0.000244657160487309,0.498125,0.0247695426861911,0.154659792625886,0.000109245719434933,Toep(0.10)
300,300,3,2.5,223.1,0.00312991021324355,9.72235220996454e-06,118.6,0.164722222222222,0.00022100819697899,0.582916666666667,0.0200577109612699,0.154760033147777,0.000133638997595118,Toep(0.50)
300,300,3,2.5,202.75,0.00284441638608305,5.51575758998323e-06,117.2,0.162777777777778,0.000206657489735257,0.55875,0.0201848638358096,0.154615320236684,0.000213863252792983,Toep(0.70)
300,300,3,2.5,201.3,0.00282407407407407,1.16290533363871e-05,110.75,0.153819444444444,0.000239339544581991,0.517083333333333,0.0207077354391431,0.154195732168578,0.000263335944531373,t
