n,p,s,b,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
300,300,3,2.5,37224,0.522222222222222,0.0081047698370707,96,0.133333333333333,0.0374634324632678,1,0,0.450705018946175,0.00412068374069107,Diag
300,300,3,2.5,36336,0.50976430976431,0.00716084749914065,48,0.0666666666666667,0.0305887645160749,1,0,0.445657496117642,0.00247610087198426,Toep(0.10)
300,300,3,2.5,37500,0.526094276094276,0.00897456747825913,36,0.05,0.0273059340636375,1,0,0.448610979732014,0.00387484528730131,Toep(0.50)
300,300,3,2.5,38040,0.533670033670034,0.0110367560263709,48,0.0666666666666667,0.0305887645160749,1,0,0.453097497636416,0.00484652152331681,Toep(0.70)
300,300,3,2.5,37380,0.524410774410774,0.0108000619473275,120,0.166666666666667,0.0382359556450936,1,0,0.450984541364989,0.00467588451581386,t
