n,p,s,b,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
300,500,3,2.5,342.4,0.002870557,6.25E-06,100.4,0.139444444,0.000106801,0.750833333,0.018898293,0.12601968,7.18E-05,Diag
300,500,3,2.5,338,0.002833669,8.09E-06,103.55,0.143819444,0.000165373,0.72125,0.026015381,0.12596781,4.93E-05,Toep(0.10)
300,500,3,2.5,308.35,0.002585094,6.33E-06,104.05,0.144513889,0.000149323,0.692291667,0.020827357,0.125936457,5.10E-05,Toep(0.50)
300,500,3,2.5,336.45,0.002820674,8.88E-06,108.4,0.150555556,0.000182443,0.715625,0.020302165,0.12596564,9.39E-05,Toep(0.70)
300,500,3,2.5,314.55,0.002637072,1.29E-05,107.75,0.149652778,0.000251239,0.673541667,0.024663812,0.126038766,0.000211777,t
