n,p,s,b,L1,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
300,500,3,2.5,1.06606891407125,3.65,3.06002682763246e-05,4.23871319922801e-07,182.05,0.252847222222222,0.000259665094805528,0.0152083333333333,0.00421328092003264,0.0798198987547247,0.000527988901499365,Diag
300,500,3,2.5,1.09914503789685,1.95,1.63480885311871e-05,3.1673087664227e-07,187.2,0.26,0.000269927447355039,0.00770833333333333,0.00287207453498389,0.0815649462732123,0.00054789457893656,Toep(0.10)
300,500,3,2.5,1.05207516937581,2.4,2.01207243460765e-05,2.92322038812734e-07,169.35,0.235208333333333,0.00025367241553593,0.01,0.00290568106579858,0.0782601333529058,0.000449326584079729,Toep(0.50)
300,500,3,2.5,1.09914503789685,3.6,3.01810865191147e-05,4.28347668449702e-07,190.45,0.264513888888889,0.000261272958658662,0.0147916666666667,0.00416090610563169,0.0810401183280161,0.000604281986330949,Toep(0.70)
300,500,3,2.5,1.37901496243621,4.85,4.06606304493628e-05,2.0110782410136e-06,275.6,0.382777777777778,0.000290349644143834,0.00875,0.00853323824645487,0.0965073867032751,0.000505536335754324,t
