n,p,s,b,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
300,500,3,2.5,2208,0.0185110663983903,0.00115492551862824,468,0.65,0.0166666666666667,1,0,0.188518518008436,0.000839222210372604,Diag
300,500,3,2.5,2220,0.0186116700201207,0.000886406282049307,456,0.633333333333333,0.0229415733870562,1,0,0.189787969379056,0.00108898240439752,Toep(0.10)
300,500,3,2.5,2304,0.0193158953722334,0.00109624181252632,456,0.633333333333333,0.0229415733870562,1,0,0.189836642642077,0.000807723225570039,Toep(0.50)
300,500,3,2.5,2232,0.0187122736418511,0.00111264053283991,432,0.6,0.0305887645160749,1,0,0.189203534054239,0.000811915832467795,Toep(0.70)
300,500,3,2.5,2244,0.0188128772635815,0.00112383510028911,468,0.65,0.0166666666666667,1,0,0.189310637424137,0.00109866063030349,t
