n,p,s,b,L1,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
300,500,3,2.5,0.203545377388306,5776.65,0.0484293259557344,2.1409788296357e-05,47.15,0.0654861111111111,0.000125271290239303,1,0,0.0391814365032986,0.000680361991301155,Diag
300,500,3,2.5,0.203545377388306,5811.2,0.0487189805499665,2.90150600926526e-05,48.85,0.0678472222222222,0.000110638959363824,1,0,0.0391775642867194,0.000617256139882635,Toep(0.10)
300,500,3,2.5,0.203545377388306,5883.1,0.0493217639168343,3.52590484344142e-05,49.05,0.068125,5.88555278310398e-05,1,0,0.038719818706336,0.000626179453412175,Toep(0.50)
300,500,3,2.5,0.203545377388306,5801.25,0.0486355633802817,3.31300572895107e-05,44.55,0.061875,9.6050135095776e-05,1,0,0.0393355109364,0.000567370249083542,Toep(0.70)
300,500,3,2.5,0.203545377388306,5591.8,0.0468796109993293,5.71247081678247e-05,48.35,0.0671527777777778,0.000285184290230172,1,0,0.0396568483885441,0.00162801310021303,t
