n,p,s,b,n.FP,FPR,sd.FPR,n.FN,FNR,sd.FNR,FWER,sd.FWER,RMSE,sd.RMSE,error
300,500,3,2.5,3.65,3.06E-05,4.37E-07,161.3,0.224027778,0.000208218,0.015,0.00434277,0.12601968,7.18E-05,Diag
300,500,3,2.5,1.95,1.63E-05,3.89E-07,162.7,0.225972222,0.000268726,0.008125,0.003864894,0.12596781,4.93E-05,Toep(0.10)
300,500,3,2.5,2.4,2.01E-05,2.61E-07,158.8,0.220555556,0.000268419,0.01,0.002589763,0.125936457,5.10E-05,Toep(0.50)
300,500,3,2.5,3.6,3.02E-05,5.58E-07,166.2,0.230833333,0.000260306,0.015,0.005544214,0.12596564,9.39E-05,Toep(0.70)
300,500,3,2.5,4.85,4.07E-05,1.16E-06,169.3,0.235138889,0.000326233,0.015833333,0.007692462,0.126038766,0.000211777,t
